nodeId,originalNodeId,role
0,0,NPU
1,1,NPU
2,2,NPU
3,3,NPU
4,4,NPU
5,5,NPU
6,6,NPU
7,7,NPU
8,8,NPU
9,9,NPU
10,10,NPU
11,11,NPU
12,12,NPU
13,13,NPU
14,14,NPU
15,15,NPU
16,16,NPU
17,17,NPU
18,18,NPU
19,19,NPU
20,20,NPU
21,21,NPU
22,22,NPU
23,23,NPU
24,24,NPU
25,25,NPU
26,26,NPU
27,27,NPU
28,28,NPU
29,29,NPU
30,30,NPU
31,31,NPU
32,32,NPU
33,33,NPU
34,34,NPU
35,35,NPU
36,36,NPU
37,37,NPU
38,38,NPU
39,39,NPU
40,40,NPU
41,41,NPU
42,42,NPU
43,43,NPU
44,44,NPU
45,45,NPU
46,46,NPU
47,47,NPU
48,48,NPU
49,49,NPU
50,50,NPU
51,51,NPU
52,52,NPU
53,53,NPU
54,54,NPU
55,55,NPU
56,56,NPU
57,57,NPU
58,58,NPU
59,59,NPU
60,60,NPU
61,61,NPU
62,62,NPU
63,63,NPU
64,64,NPU
65,65,NPU
66,66,NPU
67,67,NPU
68,68,NPU
69,69,NPU
70,70,NPU
71,71,NPU
72,72,NPU
73,73,NPU
74,74,NPU
75,75,NPU
76,76,NPU
77,77,NPU
78,78,NPU
79,79,NPU
80,80,NPU
81,81,NPU
82,82,NPU
83,83,NPU
84,84,NPU
85,85,NPU
86,86,NPU
87,87,NPU
88,88,NPU
89,89,NPU
90,90,NPU
91,91,NPU
92,92,NPU
93,93,NPU
94,94,NPU
95,95,NPU
96,96,NPU
97,97,NPU
98,98,NPU
99,99,NPU
100,100,NPU
101,101,NPU
102,102,NPU
103,103,NPU
104,104,NPU
105,105,NPU
106,106,NPU
107,107,NPU
108,108,NPU
109,109,NPU
110,110,NPU
111,111,NPU
112,112,NPU
113,113,NPU
114,114,NPU
115,115,NPU
116,116,NPU
117,117,NPU
118,118,NPU
119,119,NPU
120,120,NPU
121,121,NPU
122,122,NPU
123,123,NPU
124,124,NPU
125,125,NPU
126,126,NPU
127,127,NPU
128,128,L1
129,129,L1
130,130,L1
131,131,L1
132,132,L1
133,133,L1
134,134,L1
135,135,L1
136,136,L1
137,137,L1
138,138,L1
139,139,L1
140,140,L1
141,141,L1
142,142,L1
143,143,L1
144,144,L1
145,145,L1
146,146,L1
147,147,L1
148,148,L1
149,149,L1
150,150,L1
151,151,L1
152,152,L1
153,153,L1
154,154,L1
155,155,L1
156,156,L1
157,157,L1
158,158,L1
159,159,L1
160,160,L1
161,161,L1
162,162,L1
163,163,L1
164,164,L1
165,165,L1
166,166,L1
167,167,L1
168,168,L1
169,169,L1
170,170,L1
171,171,L1
172,172,L1
173,173,L1
174,174,L1
175,175,L1
176,176,L1
177,177,L1
178,178,L1
179,179,L1
180,180,L1
181,181,L1
182,182,L1
183,183,L1
184,184,L1
185,185,L1
186,186,L1
187,187,L1
188,188,L1
189,189,L1
190,190,L1
191,191,L1
192,192,L1
193,193,L1
194,194,L1
195,195,L1
196,196,L1
197,197,L1
198,198,L1
199,199,L1
200,200,L1
201,201,L1
202,202,L1
203,203,L1
204,204,L1
205,205,L1
206,206,L1
207,207,L1
208,208,L1
209,209,L1
210,210,L1
211,211,L1
212,212,L1
213,213,L1
214,214,L1
215,215,L1
216,216,L1
217,217,L1
218,218,L1
219,219,L1
220,220,L1
221,221,L1
222,222,L1
223,223,L1
224,224,L1
225,225,L1
226,226,L1
227,227,L1
228,228,L1
229,229,L1
230,230,L1
231,231,L1
232,232,L1
233,233,L1
234,234,L1
235,235,L1
236,236,L1
237,237,L1
238,238,L1
239,239,L1
240,240,L1
241,241,L1
242,242,L1
243,243,L1
244,244,L1
245,245,L1
246,246,L1
247,247,L1
248,248,L1
249,249,L1
250,250,L1
251,251,L1
252,252,L1
253,253,L1
254,254,L1
255,255,L1
256,256,L2
257,257,L2
258,258,L2
259,259,L2
260,260,L2
261,261,L2
262,262,L2
263,263,L2
264,264,L2
265,265,L2
266,266,L2
267,267,L2
268,268,L2
269,269,L2
270,270,L2
271,271,L2
272,272,L2
273,273,L2
274,274,L2
275,275,L2
276,276,L2
277,277,L2
278,278,L2
279,279,L2
280,280,L2
281,281,L2
282,282,L2
283,283,L2
284,284,L2
285,285,L2
286,286,L2
287,287,L2
288,288,5808
289,289,5808
290,290,5808
291,291,5808
292,292,5808
293,293,5808
294,294,5808
295,295,5808
296,296,5808
297,297,5808
298,298,5808
299,299,5808
300,300,5808
301,301,5808
302,302,5808
303,303,5808
304,304,5808
305,305,5808
306,306,5808
307,307,5808
308,308,5808
309,309,5808
310,310,5808
311,311,5808
312,312,5808
313,313,5808
314,314,5808
315,315,5808
316,316,5808
317,317,5808
318,318,5808
319,319,5808
