nodeId1,portId1,nodeId2,portId2,bandwidth,delay
19,1,578,3,400Gbps,1ns
19,2,642,3,400Gbps,1ns
19,3,706,3,400Gbps,1ns
19,4,770,3,400Gbps,1ns
19,5,834,3,400Gbps,1ns
19,6,898,3,400Gbps,1ns
19,7,962,3,400Gbps,1ns
20,0,514,4,400Gbps,1ns
20,1,578,4,400Gbps,1ns
20,2,642,4,400Gbps,1ns
20,3,706,4,400Gbps,1ns
20,4,770,4,400Gbps,1ns
20,5,834,4,400Gbps,1ns
20,6,898,4,400Gbps,1ns
20,7,962,4,400Gbps,1ns
21,0,514,5,400Gbps,1ns
21,1,578,5,400Gbps,1ns
21,2,642,5,400Gbps,1ns
21,3,706,5,400Gbps,1ns
21,4,770,5,400Gbps,1ns
21,5,834,5,400Gbps,1ns
21,6,898,5,400Gbps,1ns
21,7,962,5,400Gbps,1ns
22,0,514,6,400Gbps,1ns
22,1,578,6,400Gbps,1ns
22,2,642,6,400Gbps,1ns
22,3,706,6,400Gbps,1ns
22,4,770,6,400Gbps,1ns
22,5,834,6,400Gbps,1ns
22,6,898,6,400Gbps,1ns
22,7,962,6,400Gbps,1ns
23,0,514,7,400Gbps,1ns
23,1,578,7,400Gbps,1ns
23,2,642,7,400Gbps,1ns
23,3,706,7,400Gbps,1ns
23,4,770,7,400Gbps,1ns
23,5,834,7,400Gbps,1ns
23,6,898,7,400Gbps,1ns
23,7,962,7,400Gbps,1ns
24,0,515,0,400Gbps,1ns
24,1,579,0,400Gbps,1ns
24,2,643,0,400Gbps,1ns
24,3,707,0,400Gbps,1ns
24,4,771,0,400Gbps,1ns
24,5,835,0,400Gbps,1ns
24,6,899,0,400Gbps,1ns
24,7,963,0,400Gbps,1ns
25,0,515,1,400Gbps,1ns
25,1,579,1,400Gbps,1ns
25,2,643,1,400Gbps,1ns
25,3,707,1,400Gbps,1ns
25,4,771,1,400Gbps,1ns
25,5,835,1,400Gbps,1ns
25,6,899,1,400Gbps,1ns
25,7,963,1,400Gbps,1ns
26,0,515,2,400Gbps,1ns
26,1,579,2,400Gbps,1ns
26,2,643,2,400Gbps,1ns
26,3,707,2,400Gbps,1ns
26,4,771,2,400Gbps,1ns
26,5,835,2,400Gbps,1ns
26,6,899,2,400Gbps,1ns
26,7,963,2,400Gbps,1ns
27,0,515,3,400Gbps,1ns
27,1,579,3,400Gbps,1ns
27,2,643,3,400Gbps,1ns
27,3,707,3,400Gbps,1ns
27,4,771,3,400Gbps,1ns
27,5,835,3,400Gbps,1ns
27,6,899,3,400Gbps,1ns
27,7,963,3,400Gbps,1ns
28,0,515,4,400Gbps,1ns
28,1,579,4,400Gbps,1ns
28,2,643,4,400Gbps,1ns
28,3,707,4,400Gbps,1ns
28,4,771,4,400Gbps,1ns
28,5,835,4,400Gbps,1ns
28,6,899,4,400Gbps,1ns
28,7,963,4,400Gbps,1ns
29,0,515,5,400Gbps,1ns
29,1,579,5,400Gbps,1ns
29,2,643,5,400Gbps,1ns
29,3,707,5,400Gbps,1ns
29,4,771,5,400Gbps,1ns
29,5,835,5,400Gbps,1ns
29,6,899,5,400Gbps,1ns
29,7,963,5,400Gbps,1ns
30,0,515,6,400Gbps,1ns
30,1,579,6,400Gbps,1ns
30,2,643,6,400Gbps,1ns
30,3,707,6,400Gbps,1ns
30,4,771,6,400Gbps,1ns
30,5,835,6,400Gbps,1ns
30,6,899,6,400Gbps,1ns
30,7,963,6,400Gbps,1ns
31,0,515,7,400Gbps,1ns
31,1,579,7,400Gbps,1ns
31,2,643,7,400Gbps,1ns
31,3,707,7,400Gbps,1ns
31,4,771,7,400Gbps,1ns
31,5,835,7,400Gbps,1ns
31,6,899,7,400Gbps,1ns
31,7,963,7,400Gbps,1ns
32,0,516,0,400Gbps,1ns
32,1,580,0,400Gbps,1ns
32,2,644,0,400Gbps,1ns
32,3,708,0,400Gbps,1ns
32,4,772,0,400Gbps,1ns
32,5,836,0,400Gbps,1ns
32,6,900,0,400Gbps,1ns
32,7,964,0,400Gbps,1ns
33,0,516,1,400Gbps,1ns
33,1,580,1,400Gbps,1ns
33,2,644,1,400Gbps,1ns
33,3,708,1,400Gbps,1ns
33,4,772,1,400Gbps,1ns
33,5,836,1,400Gbps,1ns
33,6,900,1,400Gbps,1ns
33,7,964,1,400Gbps,1ns
34,0,516,2,400Gbps,1ns
34,1,580,2,400Gbps,1ns
34,2,644,2,400Gbps,1ns
34,3,708,2,400Gbps,1ns
34,4,772,2,400Gbps,1ns
34,5,836,2,400Gbps,1ns
34,6,900,2,400Gbps,1ns
34,7,964,2,400Gbps,1ns
35,0,516,3,400Gbps,1ns
35,1,580,3,400Gbps,1ns
35,2,644,3,400Gbps,1ns
35,3,708,3,400Gbps,1ns
35,4,772,3,400Gbps,1ns
35,5,836,3,400Gbps,1ns
35,6,900,3,400Gbps,1ns
35,7,964,3,400Gbps,1ns
36,0,516,4,400Gbps,1ns
36,1,580,4,400Gbps,1ns
36,2,644,4,400Gbps,1ns
36,3,708,4,400Gbps,1ns
36,4,772,4,400Gbps,1ns
36,5,836,4,400Gbps,1ns
36,6,900,4,400Gbps,1ns
36,7,964,4,400Gbps,1ns
37,0,516,5,400Gbps,1ns
37,1,580,5,400Gbps,1ns
37,2,644,5,400Gbps,1ns
37,3,708,5,400Gbps,1ns
37,4,772,5,400Gbps,1ns
37,5,836,5,400Gbps,1ns
37,6,900,5,400Gbps,1ns
37,7,964,5,400Gbps,1ns
38,0,516,6,400Gbps,1ns
38,1,580,6,400Gbps,1ns
38,2,644,6,400Gbps,1ns
38,3,708,6,400Gbps,1ns
38,4,772,6,400Gbps,1ns
38,5,836,6,400Gbps,1ns
38,6,900,6,400Gbps,1ns
38,7,964,6,400Gbps,1ns
39,0,516,7,400Gbps,1ns
39,1,580,7,400Gbps,1ns
39,2,644,7,400Gbps,1ns
39,3,708,7,400Gbps,1ns
39,4,772,7,400Gbps,1ns
39,5,836,7,400Gbps,1ns
39,6,900,7,400Gbps,1ns
39,7,964,7,400Gbps,1ns
40,0,517,0,400Gbps,1ns
40,1,581,0,400Gbps,1ns
40,2,645,0,400Gbps,1ns
40,3,709,0,400Gbps,1ns
40,4,773,0,400Gbps,1ns
40,5,837,0,400Gbps,1ns
40,6,901,0,400Gbps,1ns
40,7,965,0,400Gbps,1ns
41,0,517,1,400Gbps,1ns
41,1,581,1,400Gbps,1ns
41,2,645,1,400Gbps,1ns
41,3,709,1,400Gbps,1ns
41,4,773,1,400Gbps,1ns
41,5,837,1,400Gbps,1ns
41,6,901,1,400Gbps,1ns
41,7,965,1,400Gbps,1ns
42,0,517,2,400Gbps,1ns
42,1,581,2,400Gbps,1ns
42,2,645,2,400Gbps,1ns
42,3,709,2,400Gbps,1ns
42,4,773,2,400Gbps,1ns
42,5,837,2,400Gbps,1ns
42,6,901,2,400Gbps,1ns
42,7,965,2,400Gbps,1ns
43,0,517,3,400Gbps,1ns
43,1,581,3,400Gbps,1ns
43,2,645,3,400Gbps,1ns
43,3,709,3,400Gbps,1ns
43,4,773,3,400Gbps,1ns
43,5,837,3,400Gbps,1ns
43,6,901,3,400Gbps,1ns
43,7,965,3,400Gbps,1ns
44,0,517,4,400Gbps,1ns
44,1,581,4,400Gbps,1ns
44,2,645,4,400Gbps,1ns
44,3,709,4,400Gbps,1ns
44,4,773,4,400Gbps,1ns
44,5,837,4,400Gbps,1ns
44,6,901,4,400Gbps,1ns
44,7,965,4,400Gbps,1ns
45,0,517,5,400Gbps,1ns
45,1,581,5,400Gbps,1ns
45,2,645,5,400Gbps,1ns
45,3,709,5,400Gbps,1ns
45,4,773,5,400Gbps,1ns
45,5,837,5,400Gbps,1ns
45,6,901,5,400Gbps,1ns
45,7,965,5,400Gbps,1ns
46,0,517,6,400Gbps,1ns
46,1,581,6,400Gbps,1ns
46,2,645,6,400Gbps,1ns
46,3,709,6,400Gbps,1ns
46,4,773,6,400Gbps,1ns
46,5,837,6,400Gbps,1ns
46,6,901,6,400Gbps,1ns
46,7,965,6,400Gbps,1ns
47,0,517,7,400Gbps,1ns
47,1,581,7,400Gbps,1ns
47,2,645,7,400Gbps,1ns
47,3,709,7,400Gbps,1ns
47,4,773,7,400Gbps,1ns
47,5,837,7,400Gbps,1ns
47,6,901,7,400Gbps,1ns
47,7,965,7,400Gbps,1ns
48,0,518,0,400Gbps,1ns
48,1,582,0,400Gbps,1ns
48,2,646,0,400Gbps,1ns
48,3,710,0,400Gbps,1ns
48,4,774,0,400Gbps,1ns
48,5,838,0,400Gbps,1ns
48,6,902,0,400Gbps,1ns
48,7,966,0,400Gbps,1ns
49,0,518,1,400Gbps,1ns
49,1,582,1,400Gbps,1ns
49,2,646,1,400Gbps,1ns
49,3,710,1,400Gbps,1ns
49,4,774,1,400Gbps,1ns
49,5,838,1,400Gbps,1ns
49,6,902,1,400Gbps,1ns
49,7,966,1,400Gbps,1ns
50,0,518,2,400Gbps,1ns
50,1,582,2,400Gbps,1ns
50,2,646,2,400Gbps,1ns
50,3,710,2,400Gbps,1ns
50,4,774,2,400Gbps,1ns
50,5,838,2,400Gbps,1ns
50,6,902,2,400Gbps,1ns
50,7,966,2,400Gbps,1ns
51,0,518,3,400Gbps,1ns
51,1,582,3,400Gbps,1ns
51,2,646,3,400Gbps,1ns
51,3,710,3,400Gbps,1ns
51,4,774,3,400Gbps,1ns
51,5,838,3,400Gbps,1ns
51,6,902,3,400Gbps,1ns
51,7,966,3,400Gbps,1ns
52,0,518,4,400Gbps,1ns
52,1,582,4,400Gbps,1ns
52,2,646,4,400Gbps,1ns
52,3,710,4,400Gbps,1ns
52,4,774,4,400Gbps,1ns
52,5,838,4,400Gbps,1ns
52,6,902,4,400Gbps,1ns
52,7,966,4,400Gbps,1ns
53,0,518,5,400Gbps,1ns
53,1,582,5,400Gbps,1ns
53,2,646,5,400Gbps,1ns
53,3,710,5,400Gbps,1ns
53,4,774,5,400Gbps,1ns
53,5,838,5,400Gbps,1ns
53,6,902,5,400Gbps,1ns
53,7,966,5,400Gbps,1ns
54,0,518,6,400Gbps,1ns
54,1,582,6,400Gbps,1ns
54,2,646,6,400Gbps,1ns
54,3,710,6,400Gbps,1ns
54,4,774,6,400Gbps,1ns
54,5,838,6,400Gbps,1ns
54,6,902,6,400Gbps,1ns
54,7,966,6,400Gbps,1ns
